productId,description,brand,price,size,inventory,fulfillment
"0002640041757","Darigold FIT Whole Milk Ultra-Filtered","Darigold","5.29","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0005200006698","Muscle Milk® Pro Vanilla Creme High Protein Shake Multipack","Muscle Milk","10.99","4 pk / 11 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526447","Horizon Organic DHA Omega-3 Milk - DHA Whole Milk","Horizon Organic","7.29","1/2 gal","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273023208","Prairie Farms 1% Lowfat Milk","Prairie Farms","3.99","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0002640041756","Darigold FIT 2% Milk Ultra-Filtered","Darigold","5.29","59 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0086102900012","MALK Organic Vanilla Almond Milk - Dairy Free","Malk","6.99","28 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300119","Silk Dark Chocolate Dairy Free Vegan Almond Milk","Silk","3.69","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111014430","Kroger® Reduced Calorieˆ Milk Chocolate Flavored Hot Cocoa Mix","Kroger","2.99","8 ct / 3.10 oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111013265","Simple Truth® Dairy Free Vanilla Almond Milk Half Gallon","Simple Truth","2.79","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157005670","Almond Breeze Dairy Free Unsweetened Original Almond Milk Half Gallon","Almond Breeze","3.79","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111013268","Simple Truth® Dairy Free Unsweetened Vanilla Almond Milk Half Gallon","Simple Truth","2.79","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111013266","Simple Truth® Dairy Free Chocolate Almond Milk Half Gallon","Simple Truth","2.79","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002800051575","Nesquik Strawberry Milk Ready to Drink Low-fat Milk","Nesquik","1.69","14 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273026454","Prairie Farms® Vitamin D Salted Caramel Flavored Milk","Prairie Farms","2.19","14 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0007273026453","Prairie Farms Chocolate & P.B. Flavored Milk","Prairie Farms","2.19","14 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0007273026210","Prairie Farms 2% Reduced Fat Chocolate Milk","Prairie Farms","4.49","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0004410015620","Planet Oat® Dairy Free Dark Chocolate Oat Milk","Planet Oat","3.69","52 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085804500451","Milkadamia® Unsweetened Vanilla Macadamia Milk","Milkadamia","4.99","32 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050279","Kroger® 1% Lowfat Chocolate Milk Pint","Kroger","1.79","1 pt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085004588703","Spylt Max Caffeinated Chocolate Milk","Spylt","39.99","12 cans / 11 fl oz","","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0085004588706","Spylt Caffeinated Strawberry Milk Protein Drink Can","Spylt","3.79","11 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300099","Silk Vanilla Shelf Stable Dairy Free Almond Milk","Silk","3.69","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085004588700","Spylt Max Caffeinated Protein Chocolate Milk Can","Spylt","3.79","11 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0076982894269","Binggrae® Strawberry Flavored Milk Drink Multipack","Binggrae","11.19","6 ct / 6.8 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085004588701","Spylt Caffeinated Chocolate Milk Protein Drink Can","Spylt","3.79","11 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0076352830603","Promised Land® Midnight Chocolate Flavored Whole Milk","Promised Land","5.79","1 quart","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0076982822160","Binggrae® Banana Flavored Milk Drink","Binggrae","11.19","6 pk / 41 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157011008","Blue Diamond® Almond Breeze® Dairy Free Unsweetened Vanilla Almond Milk","Blue Diamond","4.99","96 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004410015621","Planet Oat Dairy Free Vanilla Oat Milk 52 fl oz","Planet Oat","3.69","52 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0081829001699","Chobani® Dairy Free Vanilla Oat Milk","Chobani","4.59","52 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529360027","Silk Vanilla Dairy Free Vegan Soy Milk Half Gallon","Silk","4.29","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157010993","Almond Breeze® Dairy-Free Hint of Honey Vanilla Almond Milk","Almond Breeze","3.79","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300136","Silk Unsweet Vanilla Dairy Free Vegan Almond Milk","Silk","3.69","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002800077212","Nesquik Chocolate Low-fat Milk Ready to Drink Low-fat Milk Breakfast Drink Bottle","Nesquik","1.69","14 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002800067893","Nesquik Chocolate Milk Ready to Drink Low-fat Milk 12 Bulk Pack 8 fl oz Bottles","Nestle","13.49","12 packs / 8 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074447391202","So Delicious Dairy Free Organic Unsweetened Vanilla Coconut Milk Half Gallon","SO Delicious","7.29","64 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157005772","Blue Diamond® Almond Breeze® Vanilla Almond Milk","Almond Breeze","4.99","96 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085002621271","nutpods® Non Dairy Half & Half Alternative made with Almonds and Coconuts","nutpods","5.99","32 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157005416","Almond Breeze® Dairy Free Shelf Stable Unsweetened Vanilla Almond Milk","Blue Diamond","2.29","32 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157005418","Almond Breeze Dairy Free Shelf Stable Unsweetened Chocolate Almond Milk Quart","Almond Breeze","2.29","32 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085004588710","Spylt Caffeinated Peanut Butter Chocolate Milk Protein Drink","Spylt","3.79","11 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085004588712","Spylt Caffeinated Cookies & Cream Milk Protein Drink Can","Spylt","3.79","11 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157005618","Almond Breeze Dairy Free Unsweetened Vanilla Almond Milk Half Gallon","Almond Breeze","3.79","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300149","Silk Unsweet Dairy Free Vegan Almond Milk Half Gallon","Silk","3.69","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273026312","Prairie Farms® Premium Chocolate Milk 32 oz","Prairie Farms","2.29","32 oz","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0019064663008","Oatly Dairy Free Full Fat Oat Milk Half Gallon","Oatly","5.99","64 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157005621","Almond Breeze Dairy Free Vanilla Almond Milk Half Gallon","Almond Breeze","3.79","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300272","Silk Dark Chocolate Shelf Stable Dairy Free Vegan Almond Milk Half Pint","Silk","8.49","6 ct / 8 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300273","Silk Vanilla Shelf Stable Dairy Free Vegan Almond Milk Half Pint","Silk","8.49","6 ct / 8 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157006837","Almond Breeze Dairy Free Shelf Stable Chocolate Almond Milk Quart","Almond Breeze","2.29","32 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004157006836","Almond Breeze Dairy Free Shelf Stable Vanilla Almond Milk Quart","Almond Breeze","2.29","32 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300270","Silk Chocolate Shelf Stable Dairy Free Vegan Soy Milk","Silk","8.49","6 ct / 8 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0002529300271","Silk Very Vanilla Shelf Stable Dairy Free Vegan Soy Milk Half Pint","Silk","8.49","6 ct / 8 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0085804500429","Milkadamia® Unsweetened Macadamia Milk","Milkadamia","4.99","32 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0076352830703","Promised Land® Very Berry Strawberry Flavored Whole Milk","Promised Land","5.79","32 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
